Year,ID,Species,River,Reach,Length,Age_cap,Age,Growth_year,Otolith_growth,Avflow,Annualflow_SD,Springflow,SpringSD,SumAutflow,SumAutSD,Ant_Wintflow,Ant_WintSD,Ant_Avflow,Ant_Annualflow_SD,Ant_Springflow,Ant_SpringSD,Ant_SumAutflow,Ant_SumAutSD,Temp
2003,4mpC,MC,Murray,Lower,1007,18,9,1993,0.11,29012.00,0.80,55511.39,0.44,15181.13,0.61,9284.77,0.54,13246.08,0.94,26645.94,0.78,9377.23,0.26,16.636392405
2003,4mpC,MC,Murray,Lower,1007,18,10,1994,0.11,16875.61,1.21,50338.83,0.57,10933.07,0.36,26877.05,0.58,29012.00,0.80,55511.39,0.44,15181.13,0.61,16.054972376
2013,4025,MC,Murray,Lower,1008,19,1,1994,0.62,16875.61,1.21,50338.83,0.57,10933.07,0.36,26877.05,0.58,29012.00,0.80,55511.39,0.44,15181.13,0.61,16.054972376
2003,4mpC,MC,Murray,Lower,1007,18,11,1995,0.11,15065.86,0.77,13216.39,0.08,10687.28,0.27,8940.34,0.37,16875.61,1.21,50338.83,0.57,10933.07,0.36,16.692876712
2013,4025,MC,Murray,Lower,1008,19,2,1995,0.25,15065.86,0.77,13216.39,0.08,10687.28,0.27,8940.34,0.37,16875.61,1.21,50338.83,0.57,10933.07,0.36,16.692876712
2003,4mpC,MC,Murray,Lower,1007,18,12,1996,0.13,15788.64,0.85,12033.41,0.52,8945.86,0.38,27094.25,0.65,15065.86,0.77,13216.39,0.08,10687.28,0.27,16.836612022
2013,4025,MC,Murray,Lower,1008,19,3,1996,0.19,15788.64,0.85,12033.41,0.52,8945.86,0.38,27094.25,0.65,15065.86,0.77,13216.39,0.08,10687.28,0.27,16.836612022
2003,4mpC,MC,Murray,Lower,1007,18,13,1997,0.12,16303.26,1.54,50775.07,0.67,8921.45,0.26,24468.59,0.81,15788.64,0.85,12033.41,0.52,8945.86,0.38,16.933972603
2013,4025,MC,Murray,Lower,1008,19,4,1997,0.24,16303.26,1.54,50775.07,0.67,8921.45,0.26,24468.59,0.81,15788.64,0.85,12033.41,0.52,8945.86,0.38,16.933972603
2003,4mpC,MC,Murray,Lower,1007,18,14,1998,0.11,8655.18,0.94,9401.28,0.18,8257.47,0.36,5049.00,0.61,16303.26,1.54,50775.07,0.67,8921.45,0.26,17.541369863
2013,4025,MC,Murray,Lower,1008,19,5,1998,0.14,8655.18,0.94,9401.28,0.18,8257.47,0.36,5049.00,0.61,16303.26,1.54,50775.07,0.67,8921.45,0.26,17.541369863
2011,ARI-11-4,MC,Murray,Lower,922,13,1,1998,0.51,8655.18,0.94,9401.28,0.18,8257.47,0.36,5049.00,0.61,16303.26,1.54,50775.07,0.67,8921.45,0.26,17.541369863
2012,102269,MC,Murray,Lower,610,13,1,1999,0.36,9624.82,0.44,15773.16,0.93,8867.54,0.31,5275.93,0.58,8655.18,0.94,9401.28,0.18,8257.47,0.36,17.874520548
2011,ARI-11-4,MC,Murray,Lower,922,13,2,1999,0.27,9624.82,0.44,15773.16,0.93,8867.54,0.31,5275.93,0.58,8655.18,0.94,9401.28,0.18,8257.47,0.36,17.874520548
2013,4025,MC,Murray,Lower,1008,19,6,1999,0.13,9624.82,0.44,15773.16,0.93,8867.54,0.31,5275.93,0.58,8655.18,0.94,9401.28,0.18,8257.47,0.36,17.874520548
2003,4mpA,MC,Murray,Lower,390,4,1,1999,0.44,9624.82,0.44,15773.16,0.93,8867.54,0.31,5275.93,0.58,8655.18,0.94,9401.28,0.18,8257.47,0.36,17.874520548
2003,4mpC,MC,Murray,Lower,1007,18,15,1999,0.10,9624.82,0.44,15773.16,0.93,8867.54,0.31,5275.93,0.58,8655.18,0.94,9401.28,0.18,8257.47,0.36,17.874520548
2013,25784,MC,Murray,Lower,627,14,1,1999,0.56,9624.82,0.44,15773.16,0.93,8867.54,0.31,5275.93,0.58,8655.18,0.94,9401.28,0.18,8257.47,0.36,17.874520548
2003,4mpA,MC,Murray,Lower,390,4,2,2000,0.28,11455.22,0.94,8301.46,0.45,7912.70,0.29,7666.45,0.43,9624.82,0.44,15773.16,0.93,8867.54,0.31,17.48989071
2003,4mpC,MC,Murray,Lower,1007,18,16,2000,0.11,11455.22,0.94,8301.46,0.45,7912.70,0.29,7666.45,0.43,9624.82,0.44,15773.16,0.93,8867.54,0.31,17.48989071
2003,4mpB,MC,Murray,Lower,300,3,1,2000,0.31,11455.22,0.94,8301.46,0.45,7912.70,0.29,7666.45,0.43,9624.82,0.44,15773.16,0.93,8867.54,0.31,17.48989071
